dataset,categoria,organizacion,formato,filas,columnas,modificado,frecuencia_update,descripcion_ciudadana,tags_sugeridos,comp_completitud_global_pct,acc_score_accuracy_pct,cons_score_consistency_pct,uniq_score_uniqueness_pct,time_score_timeliness_pct,doc_score_documentation_pct,open_score_openness_pct,score_global
nuevo-leon-al-dia,Transparencia y Combate a la Corrupción,Oficina de Comunicación del Ejecutivo del Estado,CSV,7,6,2026-03-26T15:32:02.685061,,,[],100.0,96.67,100.0,100.0,98.79,70.0,100.0,96.11
programacion-infantil-en-canal-28-1-y-28-2-marzo,Arte y Cultura,Sistema de Radio y Televisión de Nuevo León,CSV,8,6,2026-03-26T15:31:00.574137,,,[],100.0,84.17,99.5,100.0,98.79,70.0,100.0,92.91
programacion-infantil-en-canal-28-1-y-28-2-marzo,Arte y Cultura,Sistema de Radio y Televisión de Nuevo León,CSV,11,6,2026-03-26T15:31:00.574137,,,[],81.82,87.5,99.5,81.82,98.79,70.0,100.0,86.83
cursos-y-talleres,Sin categoría,Instituto Estatal de las Personas Adultas Mayores (IEPAM),CSV,16,7,2026-03-26T14:31:47.568419,,,[],100.0,97.14,100.0,100.0,98.74,70.0,100.0,96.22
cursos-y-talleres,Sin categoría,Instituto Estatal de las Personas Adultas Mayores (IEPAM),CSV,7,7,2026-03-26T14:31:47.568419,,,[],85.71,94.29,100.0,100.0,98.74,70.0,100.0,91.22
inventario-de-bienes-inmuebles,Sin categoría,Fideicomiso de Proyectos Estratégicos (FIDEPROES),CSV,81,14,2026-03-25T17:34:29.688406,,,[],100.0,90.36,100.0,100.0,98.74,70.0,100.0,94.53
inventario-de-bienes-inmuebles,Sin categoría,Fideicomiso de Proyectos Estratégicos (FIDEPROES),CSV,14,6,2026-03-25T17:34:29.688406,,,[],66.67,91.67,100.0,100.0,98.74,70.0,100.0,84.86
conjunto-de-datos-de-los-cursos-de-capacitacion-impartidos-en-el-icet-durante-2025,Sin categoría,Instituto de Capacitación y Educación para el Trabajo (ICET),CSV,8609,17,2026-03-20T22:32:08.315303,,,[],100.0,98.82,87.28,98.38,98.47,75.0,100.0,95.09
conjunto-de-datos-de-los-cursos-de-capacitacion-impartidos-en-el-icet-durante-2025,Sin categoría,Instituto de Capacitación y Educación para el Trabajo (ICET),CSV,17,8,2026-03-20T22:32:08.315303,,,[],87.5,92.5,100.0,100.0,98.47,75.0,100.0,91.8
saldos-de-rendimientos-de-aportacion-del-fideicomiso,Sin categoría,Fideicomiso de Inversión y Administración (FIDEMEJORA),CSV,4,4,2026-03-20T18:07:28.797643,,,[],50.0,100.0,100.0,100.0,98.47,70.0,100.0,81.92
saldos-de-rendimientos-de-aportacion-del-fideicomiso,Sin categoría,Fideicomiso de Inversión y Administración (FIDEMEJORA),CSV,4,6,2026-03-20T18:07:28.797643,,,[],91.67,93.33,100.0,100.0,98.47,70.0,100.0,92.76
presupuesto-fitur-2026,Administración y Finanzas,Fideicomiso Turismo Nuevo León,CSV,49,28,2026-03-20T01:11:59.753543,,,[],82.14,94.29,71.74,100.0,98.41,70.0,100.0,85.9
presupuesto-fitur-2026,Administración y Finanzas,Fideicomiso Turismo Nuevo León,CSV,23,6,2026-03-20T01:11:59.753543,,,[],100.0,89.17,100.0,100.0,98.41,70.0,100.0,94.21
unidades-de-transporte-publico,Sin categoría,Instituto de Movilidad y Accesibilidad,CSV,2186,12,2026-03-19T17:54:07.786151,,,[],93.93,95.42,100.0,99.9,98.41,80.0,100.0,94.95
unidades-de-transporte-publico,Sin categoría,Instituto de Movilidad y Accesibilidad,CSV,12,6,2026-03-19T17:54:07.786151,,,[],100.0,94.17,100.0,100.0,98.41,80.0,100.0,96.46
licitaciones,Sin categoría,Instituto Constructor de Infraestructura Física Educativa y Deportiva,CSV,294,8,2026-03-19T00:19:07.385740,,,[],100.0,91.88,77.74,100.0,98.36,70.0,100.0,91.55
licitaciones,Sin categoría,Instituto Constructor de Infraestructura Física Educativa y Deportiva,CSV,8,6,2026-03-19T00:19:07.385740,,,[],87.5,94.17,100.0,100.0,98.36,70.0,100.0,91.71
solicitudes-de-informacion,Sin categoría,Instituto del Agua del Estado de Nuevo León,CSV,301,11,2026-03-18T21:56:13.814730,,,[],91.03,90.91,90.7,100.0,98.36,70.0,100.0,90.56
solicitudes-de-informacion,Sin categoría,Instituto del Agua del Estado de Nuevo León,CSV,11,6,2026-03-18T21:56:13.814730,,,[],83.33,96.67,100.0,100.0,98.36,70.0,100.0,91.08
insumos_politicas_publicas,Sin categoría,Secretaría Ejecutiva del Sistema Estatal Anticorrupción del Estado de Nuevo León (SESEANL),CSV,6,3,2026-03-18T19:36:08.081967,,,[],100.0,90.0,100.0,100.0,98.36,80.0,100.0,95.42
insumos_politicas_publicas,Sin categoría,Secretaría Ejecutiva del Sistema Estatal Anticorrupción del Estado de Nuevo León (SESEANL),CSV,3,6,2026-03-18T19:36:08.081967,,,[],83.33,85.83,100.0,100.0,98.36,80.0,100.0,89.37
tecnoparques-fidesur-2025,Sin categoría,Fideicomiso para el Desarrollo del Sur del Estado de Nuevo León,.CSV,4,7,2026-03-18T16:41:34.142366,,,[],100.0,97.14,100.0,100.0,98.36,70.0,100.0,96.2
tecnoparques-fidesur-2025,Sin categoría,Fideicomiso para el Desarrollo del Sur del Estado de Nuevo León,CSV,8,4,2026-03-18T16:41:34.142366,,,[],93.75,100.0,100.0,100.0,98.36,70.0,100.0,95.04
